date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:46	115/115	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2025%20Mar%202022%2021:10:55%20GMT	http://www.webosu.online/local.html	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/local.0.delayed	(from )
15:10:47	6315/6315	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202022%2021:10:56%20GMT	https://www.webosu.online/local.html	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/local.html	(from )
15:10:47	1280/1280	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202022%2021:10:56%20GMT	https://www.webosu.online/robots.txt		(from )
15:10:47	4509/4509	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Mar%202022%2021:10:56%20GMT	https://www.webosu.online/assets/img/favicon.png	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/assets/img/favicon.png	(from https://www.webosu.online/local.html)
15:10:47	120/120	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2025%20Mar%202022%2021:10:57%20GMT	https://www.webosu.online/%e2%80%9dhttps://webosu.online/%e2%80%9d/	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/%e2%80%9dhttps_/webosu.online/%e2%80%9d/index.html	(from https://www.webosu.online/local.html)
15:10:47	39508/39508	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Mar%202022%2021:10:57%20GMT	https://www.webosu.online/assets/css/picnic.min.css	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/assets/css/picnic.min.css	(from https://www.webosu.online/local.html)
15:10:48	24946/24946	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Mar%202022%2021:10:57%20GMT	https://www.webosu.online/assets/css/main.css	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/assets/css/main.css	(from https://www.webosu.online/local.html)
15:10:48	2290/2290	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Mar%202022%2021:10:57%20GMT	https://www.webosu.online/assets/css/font.css	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/assets/css/font.css	(from https://www.webosu.online/local.html)
15:10:48	5818/5818	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Mar%202022%2021:10:57%20GMT	https://www.webosu.online/assets/js/launchgame.js	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/assets/js/launchgame.js	(from https://www.webosu.online/local.html)
15:10:49	2950/2950	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Mar%202022%2021:10:58%20GMT	https://www.webosu.online/assets/js/downloader.js	C:/My%20Web%20Sites/hutaobiz/www.webosu.online/assets/js/downloader.js	(from https://www.webosu.online/local.html)
